"assettreat","asset_comp","isrstock","palstock","tradestock6all","age","married","faminc","religion","female","BA_or_higher","right_2013","right_2015","left_2013","left_2015","p_index_2013","p_index_2015","p_index_2016","e_index_2013","e_index_2015"
0,0,0,0,0,32,0,3000,"jewish",1,1,0,NA,0,NA,-10.899418592453,NA,NA,4.08433258533478,NA
1,1,0,1,0,40,1,16000,"jewish",0,1,0,0,0,1,17.6724529266357,15.6904220581055,16.6157484054565,10.7507717609406,6.46455347537994
1,1,0,1,0,65,0,8000,"jewish",0,0,0,1,0,0,7.46358275413513,8.12499284744263,7.1559339761734,3.36438596248627,-3.94801825284958
1,1,0,1,0,72,0,12000,"jewish",0,1,0,0,0,1,-1.73550888895988,1.10103085637093,6.84144496917725,1.49040505290031,-6.28131985664368
1,1,1,0,0,43,1,8000,"jewish",1,1,1,1,0,0,12.7070212364197,3.60712885856628,NA,5.78243911266327,5.99518597126007
1,1,0,1,0,23,0,0,"jewish",1,0,0,0,0,0,-6.03945791721344,-7.58739590644836,NA,2.14897811412811,2.86703109741211
1,1,0,1,0,36,0,3000,"jewish",0,0,1,1,0,0,8.2305371761322,-3.08117628097534,0.0774833559989929,-0.350630953907967,-5.27632355690002
1,1,0,0,1,36,1,16000,"jewish",1,0,0,0,0,1,0.584774389863014,3.78660082817078,4.73186761140823,0.129168787971139,4.52450782060623
0,0,0,0,1,50,1,24000,"jewish",0,0,1,1,0,0,-10.899418592453,-10.1081895828247,-11.7611801624298,-4.63898330926895,-1.3103374838829
1,1,1,0,0,35,1,16000,"jewish",1,0,0,0,0,0,-10.899418592453,-10.1081895828247,NA,-3.62453818321228,NA
1,1,1,0,1,34,0,8000,"jewish",0,1,1,1,0,0,-8.66117715835571,-5.76120495796204,NA,-6.8008828163147,-2.78862088918686
1,1,0,1,0,33,0,12000,"jewish",0,0,1,1,0,0,-8.66117715835571,-5.76120495796204,-5.07274150848389,2.32195377349854,0.939749777317047
0,0,0,0,0,35,1,16000,"jewish",1,1,0,0,1,1,5.82821249961853,6.31044447422028,9.58167731761932,12.7503979206085,6.22569859027863
1,1,1,0,1,54,1,8000,"jewish",0,0,0,0,0,0,2.84644603729248,-1.07246145606041,-7.30222105979919,2.42619320750237,-0.228492468595505
1,1,0,1,0,73,1,3000,"jewish",0,0,0,0,1,0,0.455873757600784,3.61323088407516,-2.57315218448639,5.78243911266327,5.99518597126007
0,0,0,0,0,69,0,3000,"jewish",0,0,0,0,1,1,10.6881737709045,11.004730463028,9.38625156879425,-0.164053067564964,7.46512770652771
1,1,1,0,1,28,0,8000,"jewish",0,1,0,0,1,1,12.730450630188,13.169629573822,14.1161584854126,-0.566472113132477,-8.28812956809998
1,1,0,1,0,41,1,12000,"jewish",1,1,0,0,0,1,-3.99718075990677,-3.24900448322296,9.38625156879425,3.13784092664719,2.9585874080658
0,0,0,0,0,26,0,8000,"jewish",0,0,1,1,0,0,-10.899418592453,-10.1081895828247,-11.7611801624298,-0.540107637643814,-0.459741950035095
0,0,0,0,0,31,1,8000,"jewish",1,0,0,0,0,0,-10.899418592453,-5.42554795742035,-4.72710847854614,2.75938183069229,4.36126202344894
1,0,0,1,1,67,0,3000,"jewish",0,0,0,0,0,1,8.08988451957703,6.31349563598633,2.15759307146072,-3.32841753959656,-6.2901645898819
0,0,0,0,0,56,0,8000,"jewish",0,1,0,0,0,0,0.584774389863014,-5.59032499790192,NA,0.702504590153694,-1.85481116175652
1,1,0,1,1,53,1,12000,"jewish",0,1,0,0,0,0,3.07759284973145,5.96619546413422,4.73186761140823,1.40884906053543,-3.64682197570801
1,1,1,0,0,52,1,24000,"jewish",0,1,0,0,1,1,17.6724529266357,18.0317425727844,16.6157484054565,4.01637881994247,7.55276441574097
1,1,0,1,0,25,0,16000,"jewish",1,0,1,0,0,1,-8.57913553714752,-7.7668684720993,-6.76200032234192,-8.44463765621185,0.871746093034744
0,0,0,0,0,37,1,12000,"jewish",0,1,0,0,0,1,10.1087319850922,15.6904220581055,6.76675975322723,9.49377417564392,8.01402390003204
1,1,1,0,0,52,1,16000,"jewish",1,1,0,0,0,1,5.82821249961853,8.65176558494568,-5.07274150848389,-1.47172018885612,-1.07540220022202
0,0,0,0,0,41,0,12000,"jewish",0,1,0,0,1,1,12.7070212364197,8.65176558494568,2.42686524987221,6.32410645484924,2.32647687196732
1,1,0,0,1,56,1,12000,"jewish",0,1,1,0,0,0,-1.45750284194946,5.78367233276367,16.6157484054565,0.369315706193447,0.926985293626785
0,0,0,0,1,33,0,8000,"jewish",0,1,0,0,0,0,5.44473528862,8.30751597881317,11.6912543773651,0.651834234595299,-1.86241641640663
1,1,0,0,0,35,0,24000,"jewish",0,1,0,0,1,1,5.52677631378174,10.8252573013306,6.96134686470032,2.5048503279686,10.7322382926941
1,1,0,1,1,32,1,24000,"jewish",0,1,0,0,0,1,10.4101669788361,18.0317425727844,14.1161584854126,-0.350630953907967,-1.39355167746544
