"Appendix Table S5. All age, both sex deaths and mortality rates due to COVID-19 from 2020-2023",,,,,,,,,,,,,
Location Name,Sex,Deaths due to COVID-19,,,,,"COVID-19 Mortality Rate per 100,000",,,,,,
         United Arab Emirates,Female,"302
(267 - 339)","429
(379 - 481)","90
(76 - 105)","18
(14 - 21)","840
(739 - 949)","11.2
(9.9 - 12.5)","15.6
(13.8 - 17.5)","3.2
(2.8 - 3.8)","0.6
(0.5 - 0.8)","7.7
(6.8 - 8.6)",,
         United Arab Emirates,Both Sex,"1,503
(1,348 - 1,631)","2,088
(1,871 - 2,273)","356
(311 - 398)","69
(59 - 79)","4,018
(3,591 - 4,383)","15.1
(13.6 - 16.4)","20.9
(18.7 - 22.7)","3.5
(3.1 - 4.0)","0.7
(0.6 - 0.8)","10.1
(9.0 - 10.9)",,
         Yemen,Male,"14,145
(11,978 - 16,994)","11,071
(9,360 - 13,314)","1,403
(1,154 - 1,738)","308
(246 - 379)","26,929
(22,739 - 32,426)","84.2
(71.3 - 101.1)","64.5
(54.5 - 77.5)","8.0
(6.6 - 9.9)","1.7
(1.4 - 2.1)","39.6
(33.7 - 47.3)",,
         Yemen,Female,"4,883
(4,160 - 5,697)","5,030
(4,259 - 5,858)","670
(572 - 795)","138
(115 - 162)","10,723
(9,106 - 12,515)","29.7
(25.3 - 34.7)","29.9
(25.3 - 34.9)","3.9
(3.3 - 4.6)","0.8
(0.7 - 0.9)","16.1
(13.9 - 18.7)",,
         Yemen,Both Sex,"19,028
(16,715 - 21,806)","16,102
(14,162 - 18,821)","2,073
(1,791 - 2,429)","447
(376 - 533)","37,652
(33,046 - 43,590)","57.3
(50.3 - 65.6)","47.4
(41.7 - 55.4)","6.0
(5.2 - 7.0)","1.3
(1.1 - 1.5)","28.0
(24.5 - 32.4)",,
   South Asia,Male,"946,794
(893,615 - 1,005,601)","1,590,052
(1,513,673 - 1,671,651)","155,620
(141,731 - 172,444)","46,761
(41,043 - 52,850)","2,739,228
(2,590,065 - 2,902,547)","101.3
(95.6 - 107.6)","168.3
(160.2 - 177.0)","16.3
(14.8 - 18.1)","4.8
(4.3 - 5.5)","72.7
(69.0 - 76.7)",,
   South Asia,Female,"439,058
(406,034 - 484,493)","880,815
(822,143 - 962,265)","88,008
(79,071 - 100,025)","22,717
(20,195 - 26,176)","1,430,600
(1,327,445 - 1,572,959)","48.9
(45.3 - 54.0)","97.1
(90.6 - 106.0)","9.6
(8.6 - 10.9)","2.4
(2.2 - 2.8)","39.5
(36.8 - 43.4)",,
   South Asia,Both Sex,"1,385,852
(1,315,613 - 1,461,910)","2,470,868
(2,360,976 - 2,594,334)","243,628
(225,026 - 263,527)","69,479
(62,574 - 76,483)","4,169,829
(3,964,191 - 4,396,256)","75.7
(71.8 - 79.8)","133.4
(127.5 - 140.1)","13.0
(12.0 - 14.1)","3.7
(3.3 - 4.0)","56.4
(53.8 - 59.3)",,
      South Asia,Male,"946,794
(893,615 - 1,005,601)","1,590,052
(1,513,673 - 1,671,651)","155,620
(141,731 - 172,444)","46,761
(41,043 - 52,850)","2,739,228
(2,590,065 - 2,902,547)","101.3
(95.6 - 107.6)","168.3
(160.2 - 177.0)","16.3
(14.8 - 18.1)","4.8
(4.3 - 5.5)","72.7
(69.0 - 76.7)",,
      South Asia,Female,"439,058
(406,034 - 484,493)","880,815
(822,143 - 962,265)","88,008
(79,071 - 100,025)","22,717
(20,195 - 26,176)","1,430,600
(1,327,445 - 1,572,959)","48.9
(45.3 - 54.0)","97.1
(90.6 - 106.0)","9.6
(8.6 - 10.9)","2.4
(2.2 - 2.8)","39.5
(36.8 - 43.4)",,
      South Asia,Both Sex,"1,385,852
(1,315,613 - 1,461,910)","2,470,868
(2,360,976 - 2,594,334)","243,628
(225,026 - 263,527)","69,479
(62,574 - 76,483)","4,169,829
(3,964,191 - 4,396,256)","75.7
(71.8 - 79.8)","133.4
(127.5 - 140.1)","13.0
(12.0 - 14.1)","3.7
(3.3 - 4.0)","56.4
(53.8 - 59.3)",,
         Bangladesh,Male,"117,164
(105,905 - 130,953)","183,725
(163,248 - 205,365)","13,257
(11,435 - 15,587)","3,134
(2,487 - 3,764)","317,281
(283,077 - 355,670)","142.3
(128.6 - 159.1)","219.8
(195.3 - 245.7)","15.6
(13.5 - 18.4)","3.6
(2.9 - 4.4)","95.3
(85.4 - 105.6)",,
         Bangladesh,Female,"45,287
(37,895 - 51,565)","90,425
(77,456 - 101,052)","5,905
(4,893 - 6,802)","1,004
(796 - 1,180)","142,623
(121,042 - 160,601)","54.2
(45.3 - 61.7)","106.5
(91.2 - 119.0)","6.8
(5.7 - 7.9)","1.1
(0.9 - 1.3)","42.2
(36.2 - 47.1)",,
         Bangladesh,Both Sex,"162,452
(149,440 - 179,627)","274,150
(247,814 - 299,726)","19,163
(16,879 - 21,767)","4,138
(3,474 - 4,879)","459,905
(417,609 - 506,001)","97.9
(90.1 - 108.2)","162.7
(147.0 - 177.9)","11.2
(9.9 - 12.7)","2.4
(2.0 - 2.8)","68.5
(62.3 - 75.4)",,
         Bhutan,Male,"59
(46 - 76)","11
(8 - 14)","30
(22 - 39)","7
(5 - 10)","108
(83 - 141)","15.1
(11.9 - 19.6)","2.9
(2.3 - 3.8)","7.8
(5.7 - 10.0)","2.0
(1.5 - 2.6)","7.0
(5.5 - 8.7)",,
         Bhutan,Female,"44
(31 - 58)","9
(6 - 12)","25
(17 - 34)","5
(4 - 7)","84
(60 - 113)","12.2
(8.8 - 16.2)","2.6
(1.8 - 3.5)","7.0
(4.9 - 9.6)","1.5
(1.1 - 2.0)","5.8
(4.2 - 7.7)",,
         Bhutan,Both Sex,"103
(81 - 131)","20
(16 - 26)","55
(43 - 72)","13
(10 - 17)","193
(151 - 248)","13.7
(10.8 - 17.5)","2.8
(2.2 - 3.5)","7.4
(5.8 - 9.7)","1.8
(1.4 - 2.3)","6.4
(5.1 - 8.2)",,
         India,Male,"666,923
(628,784 - 707,840)","1,205,040
(1,144,919 - 1,268,234)","122,325
(110,422 - 135,923)","34,721
(29,665 - 40,044)","2,029,011
(1,913,791 - 2,152,042)","92.8
(87.5 - 98.5)","166.2
(157.9 - 174.9)","16.7
(15.1 - 18.6)","4.7
(4.0 - 5.4)","70.1
(66.6 - 74.1)",,
         India,Female,"303,962
(279,311 - 347,858)","664,177
(618,768 - 740,408)","69,471
(61,329 - 81,243)","17,703
(15,404 - 21,242)","1,055,314
(974,814 - 1,190,752)","44.3
(40.7 - 50.7)","95.9
(89.3 - 106.9)","9.9
(8.8 - 11.6)","2.5
(2.2 - 3.0)","38.2
(35.4 - 42.8)",,
         India,Both Sex,"970,885
(921,404 - 1,033,988)","1,869,217
(1,781,373 - 1,972,712)","191,796
(174,950 - 211,027)","52,425
(46,351 - 58,743)","3,084,326
(2,924,080 - 3,276,472)","69.1
(65.6 - 73.6)","131.9
(125.7 - 139.2)","13.4
(12.2 - 14.8)","3.6
(3.2 - 4.1)","54.5
(52.0 - 57.7)",,
         Nepal,Male,"15,755
(14,176 - 17,575)","36,965
(33,102 - 40,545)","2,385
(2,010 - 2,808)","685
(576 - 822)","55,791
(49,865 - 61,752)","106.1
(95.4 - 118.3)","246.8
(221.0 - 270.8)","15.8
(13.3 - 18.6)","4.5
(3.8 - 5.4)","93.3
(84.0 - 102.3)",,
         Nepal,Female,"5,413
(4,598 - 6,234)","16,234
(13,987 - 18,333)","1,037
(871 - 1,226)","211
(177 - 254)","22,897
(19,634 - 26,048)","34.8
(29.6 - 40.1)","103.8
(89.5 - 117.3)","6.6
(5.5 - 7.8)","1.3
(1.1 - 1.6)","36.7
(31.5 - 41.3)",,
         Nepal,Both Sex,"21,168
(19,017 - 23,150)","53,200
(48,038 - 57,262)","3,422
(2,974 - 3,921)","897
(771 - 1,033)","78,688
(70,801 - 85,368)","69.6
(62.6 - 76.2)","173.8
(156.9 - 187.1)","11.1
(9.6 - 12.7)","2.9
(2.5 - 3.3)","64.4
(58.7 - 69.5)",,
         Pakistan,Male,"146,891
(131,185 - 169,240)","164,310
(145,904 - 186,467)","17,621
(15,402 - 20,225)","8,212
(6,949 - 9,498)","337,035
(299,443 - 385,432)","124.2
(110.9 - 143.1)","136.1
(120.9 - 154.5)","14.3
(12.5 - 16.4)","6.5
(5.5 - 7.6)","70.3
(62.9 - 79.6)",,
         Pakistan,Female,"84,350
(73,922 - 94,262)","109,969
(96,755 - 125,338)","11,568
(9,950 - 13,458)","3,791
(3,245 - 4,473)","209,680
(183,874 - 237,533)","75.5
(66.1 - 84.3)","96.5
(84.9 - 110.0)","10.0
(8.6 - 11.6)","3.2
(2.7 - 3.8)","46.3
(40.8 - 52.3)",,
         Pakistan,Both Sex,"231,242
(213,562 - 252,028)","274,279
(250,071 - 300,794)","29,190
(26,375 - 32,412)","12,004
(10,608 - 13,527)","546,716
(500,617 - 598,761)","100.5
(92.8 - 109.5)","116.9
(106.6 - 128.2)","12.2
(11.0 - 13.5)","4.9
(4.3 - 5.5)","58.6
(54.0 - 63.4)",,
"   Southeast Asia, East Asia, and Oceania",Male,"197,177
(183,100 - 211,660)","648,032
(604,878 - 690,465)","145,599
(136,648 - 155,003)","226,489
(203,970 - 252,453)","1,217,300
(1,128,597 - 1,309,582)","17.8
(16.5 - 19.1)","58.2
(54.3 - 62.0)","13.0
(12.2 - 13.9)","20.2
(18.2 - 22.5)","27.3
(25.7 - 28.9)",,
"   Southeast Asia, East Asia, and Oceania",Female,"104,087
(94,661 - 114,857)","428,453
(394,927 - 462,478)","109,774
(97,586 - 120,603)","180,629
(153,233 - 211,712)","822,945
(740,409 - 909,651)","9.7
(8.8 - 10.7)","39.7
(36.6 - 42.8)","10.1
(9.0 - 11.1)","16.6
(14.1 - 19.5)","19.0
(17.4 - 20.8)",,
"   Southeast Asia, East Asia, and Oceania",Both Sex,"301,265
(283,660 - 321,257)","1,076,486
(1,019,368 - 1,131,893)","255,374
(237,505 - 271,910)","407,119
(361,739 - 449,609)","2,040,245
(1,902,274 - 2,174,670)","13.8
(13.0 - 14.7)","49.1
(46.5 - 51.6)","11.6
(10.8 - 12.3)","18.4
(16.4 - 20.4)","23.2
(21.9 - 24.3)",,
      East Asia,Male,"47,180
(42,322 - 52,860)","3,281
(2,657 - 4,231)","21,197
(19,191 - 22,824)","162,608
(141,896 - 184,949)","234,266
(206,067 - 264,865)","6.3
(5.6 - 7.0)","0.4
(0.4 - 0.6)","2.8
(2.5 - 3.0)","21.5
(18.8 - 24.4)","7.7
(7.0 - 8.6)",,
      East Asia,Female,"27,691
(23,549 - 33,696)","2,547
(2,016 - 3,371)","19,144
(15,633 - 21,446)","141,979
(117,085 - 172,804)","191,363
(158,285 - 231,318)","3.8
(3.3 - 4.7)","0.4
(0.3 - 0.5)","2.6
(2.2 - 3.0)","19.6
(16.2 - 23.9)","6.6
(5.5 - 7.9)",,
      East Asia,Both Sex,"74,872
(66,769 - 86,159)","5,828
(4,715 - 7,335)","40,341
(34,828 - 43,946)","304,588
(265,714 - 347,316)","425,630
(372,028 - 484,757)","5.1
(4.5 - 5.8)","0.4
(0.3 - 0.5)","2.7
(2.4 - 3.0)","20.6
(18.0 - 23.5)","7.2
(6.3 - 8.0)",,
         China,Male,"43,387
(39,321 - 48,127)","1,648
(1,509 - 1,823)","8,566
(7,431 - 9,459)","161,695
(140,959 - 183,852)","215,297
(189,222 - 243,262)","5.9
(5.4 - 6.6)","0.2
(0.2 - 0.2)","1.2
(1.0 - 1.3)","22.1
(19.2 - 25.1)","7.4
(6.6 - 8.2)",,
         China,Female,"24,203
(20,898 - 28,986)","1,309
(1,151 - 1,474)","8,071
(6,265 - 9,281)","141,044
(116,231 - 171,728)","174,629
(144,547 - 211,470)","3.5
(3.0 - 4.2)","0.2
(0.2 - 0.2)","1.2
(0.9 - 1.3)","20.2
(16.6 - 24.6)","6.3
(5.2 - 7.5)",,
         China,Both Sex,"67,590
(60,855 - 75,705)","2,957
(2,678 - 3,280)","16,638
(13,780 - 18,414)","302,740
(264,179 - 345,664)","389,927
(341,494 - 443,065)","4.7
(4.3 - 5.3)","0.2
(0.2 - 0.2)","1.2
(1.0 - 1.3)","21.2
(18.5 - 24.2)","6.8
(6.0 - 7.6)",,
         Democratic People's Republic of Korea,Male,"2,542
(657 - 6,294)","638
(163 - 1,597)","609
(126 - 1,538)","213
(59 - 536)","4,003
(1,007 - 9,966)","19.8
(5.1 - 49.0)","5.0
(1.3 - 12.4)","4.7
(1.0 - 11.9)","1.7
(0.5 - 4.2)","7.8
(2.1 - 17.9)",,
         Democratic People's Republic of Korea,Female,"2,505
(683 - 6,068)","574
(159 - 1,365)","920
(214 - 2,236)","293
(72 - 718)","4,294
(1,130 - 10,389)","18.6
(5.1 - 45.1)","4.3
(1.2 - 10.1)","6.8
(1.6 - 16.6)","2.2
(0.5 - 5.3)","8.0
(2.2 - 18.6)",,
         Democratic People's Republic of Korea,Both Sex,"5,047
(1,499 - 11,429)","1,213
(342 - 2,746)","1,530
(409 - 3,630)","507
(143 - 1,143)","8,298
(2,395 - 18,949)","19.2
(5.7 - 43.4)","4.6
(1.3 - 10.4)","5.8
(1.6 - 13.8)","1.9
(0.5 - 4.3)","7.9
(2.4 - 17.8)",,
         Taiwan*,Male,"1,250
(1,070 - 1,433)","994
(891 - 1,100)","12,021
(11,111 - 12,861)","699
(578 - 828)","14,965
(13,651 - 16,224)","10.7
(9.2 - 12.3)","8.6
(7.7 - 9.5)","104.3
(96.4 - 111.6)","6.1
(5.0 - 7.2)","32.4
(29.8 - 34.6)",,
         Taiwan*,Female,"983
(806 - 1,153)","663
(554 - 753)","10,151
(8,651 - 11,315)","641
(493 - 777)","12,439
(10,505 - 13,999)","8.3
(6.8 - 9.7)","5.6
(4.7 - 6.4)","86.2
(73.4 - 96.0)","5.5
(4.2 - 6.6)","26.4
(22.4 - 29.3)",,
         Taiwan*,Both Sex,"2,234
(1,899 - 2,560)","1,657
(1,447 - 1,848)","22,172
(19,678 - 24,107)","1,340
(1,084 - 1,589)","27,404
(24,109 - 30,106)","9.5
(8.1 - 10.9)","7.1
(6.2 - 7.9)","95.1
(84.4 - 103.4)","5.8
(4.7 - 6.8)","29.4
(26.2 - 31.8)",,
      Oceania,Male,"848
(743 - 960)","4,412
(3,859 - 4,985)","1,155
(1,005 - 1,307)","777
(675 - 902)","7,193
(6,284 - 8,155)","12.0
(10.5 - 13.5)","60.7
(53.1 - 68.6)","15.5
(13.5 - 17.5)","10.2
(8.9 - 11.8)","24.6
(21.8 - 27.8)",,
      Oceania,Female,"608
(533 - 680)","2,894
(2,558 - 3,184)","837
(736 - 945)","596
(525 - 671)","4,936
(4,352 - 5,482)","9.2
(8.0 - 10.3)","42.6
(37.7 - 46.9)","12.0
(10.6 - 13.6)","8.4
(7.4 - 9.4)","18.1
(15.9 - 20.0)",,
      Oceania,Both Sex,"1,456
(1,307 - 1,613)","7,306
(6,611 - 7,952)","1,992
(1,793 - 2,217)","1,374
(1,208 - 1,564)","12,130
(10,920 - 13,348)","10.6
(9.5 - 11.8)","52.0
(47.0 - 56.6)","13.8
(12.5 - 15.4)","9.3
(8.2 - 10.6)","21.4
(19.5 - 23.4)",,
         American Samoa,Male,"13
(7 - 23)","47
(24 - 79)","13
(6 - 25)","6
(3 - 11)","81
(41 - 139)","53.5
(27.3 - 90.5)","185.8
(95.8 - 309.5)","53.5
(26.4 - 99.3)","26.1
(12.6 - 45.7)","79.7
(41.0 - 134.3)",,
         American Samoa,Female,"8
(5 - 11)","27
(19 - 37)","8
(5 - 11)","4
(3 - 6)","48
(34 - 66)","33.1
(23.5 - 45.8)","112.0
(80.3 - 153.6)","33.4
(23.2 - 46.5)","18.5
(12.9 - 25.7)","49.2
(35.6 - 67.4)",,
         American Samoa,Both Sex,"22
(12 - 33)","75
(45 - 113)","21
(12 - 36)","10
(6 - 17)","129
(77 - 201)","43.5
(25.3 - 66.7)","149.6
(90.6 - 227.1)","43.6
(25.8 - 72.8)","22.4
(12.9 - 35.4)","64.8
(38.5 - 100.3)",,
         Cook Islands,Male,"3
(1 - 5)","10
(5 - 16)","3
(1 - 5)","1
(0 - 2)","18
(9 - 30)","42.0
(19.5 - 70.4)","136.5
(66.8 - 223.5)","44.3
(22.1 - 74.5)","21.8
(11.9 - 38.0)","61.1
(30.5 - 99.6)",,
         Cook Islands,Female,"2
(1 - 3)","6
(4 - 9)","2
(1 - 3)","1
(0 - 1)","12
(8 - 17)","31.1
(19.9 - 45.1)","85.2
(58.8 - 117.0)","27.9
(18.3 - 40.0)","15.2
(10.3 - 21.3)","39.9
(27.2 - 55.4)",,
         Cook Islands,Both Sex,"5
(3 - 8)","17
(9 - 25)","5
(3 - 8)","2
(1 - 4)","30
(17 - 47)","36.5
(20.1 - 56.2)","110.4
(63.1 - 168.4)","36.0
(20.8 - 56.2)","18.5
(11.2 - 29.3)","50.3
(29.6 - 75.1)",,
         Micronesia (Federated States of),Male,"20
(12 - 29)","71
(47 - 104)","23
(15 - 35)","10
(6 - 15)","125
(82 - 185)","38.3
(24.0 - 56.2)","135.4
(89.3 - 197.1)","43.7
(29.0 - 67.4)","20.0
(13.1 - 30.0)","59.4
(39.6 - 85.5)",,
         Micronesia (Federated States of),Female,"11
(8 - 15)","41
(31 - 56)","13
(9 - 17)","7
(5 - 10)","74
(54 - 99)","23.3
(17.2 - 30.5)","82.6
(61.1 - 110.5)","25.8
(19.1 - 34.6)","14.4
(10.5 - 19.9)","36.5
(27.2 - 48.7)",,
         Micronesia (Federated States of),Both Sex,"32
(22 - 44)","113
(79 - 156)","36
(25 - 53)","17
(12 - 25)","199
(139 - 280)","31.0
(21.4 - 43.3)","109.5
(77.0 - 150.9)","34.9
(24.2 - 51.7)","17.2
(12.2 - 24.9)","48.1
(34.5 - 65.8)",,
         Fiji,Male,"117
(99 - 141)","686
(592 - 810)","211
(178 - 252)","158
(126 - 194)","1,173
(997 - 1,398)","24.9
(21.2 - 30.0)","145.6
(125.7 - 171.8)","44.8
(37.8 - 53.4)","33.4
(26.6 - 40.9)","62.2
(53.7 - 71.7)",,
         Fiji,Female,"109
(93 - 128)","666
(582 - 754)","207
(178 - 242)","167
(142 - 194)","1,151
(996 - 1,319)","24.0
(20.5 - 28.2)","145.3
(126.9 - 164.4)","45.1
(38.7 - 52.5)","36.1
(30.8 - 42.0)","62.6
(54.8 - 71.5)",,
         Fiji,Both Sex,"226
(199 - 266)","1,353
(1,221 - 1,530)","419
(364 - 476)","325
(278 - 376)","2,325
(2,064 - 2,649)","24.5
(21.5 - 28.8)","145.5
(131.3 - 164.4)","44.9
(39.0 - 51.0)","34.7
(29.7 - 40.1)","62.4
(55.7 - 70.4)",,
         Guam,Male,"42
(33 - 53)","109
(88 - 129)","89
(71 - 108)","54
(42 - 69)","294
(237 - 359)","52.3
(41.7 - 65.1)","134.6
(109.7 - 159.9)","110.9
(89.5 - 134.4)","67.9
(53.8 - 86.4)","91.4
(76.4 - 107.1)",,
         Guam,Female,"27
(22 - 31)","69
(60 - 77)","51
(43 - 59)","34
(28 - 40)","182
(153 - 209)","34.5
(28.4 - 40.2)","88.7
(76.7 - 99.3)","65.6
(55.3 - 76.3)","44.3
(36.2 - 52.3)","58.3
(49.9 - 65.7)",,
         Guam,Both Sex,"69
(56 - 83)","178
(151 - 205)","140
(114 - 165)","88
(71 - 107)","477
(393 - 562)","43.6
(35.2 - 52.2)","112.0
(95.2 - 129.2)","88.6
(72.2 - 104.4)","56.2
(45.3 - 68.2)","75.1
(63.0 - 86.2)",,
         Kiribati,Male,"16
(9 - 27)","56
(31 - 86)","17
(9 - 26)","10
(6 - 16)","100
(56 - 157)","28.3
(15.9 - 45.9)","91.8
(50.9 - 142.3)","27.4
(15.3 - 42.9)","16.7
(9.8 - 25.7)","41.0
(23.5 - 62.6)",,
         Kiribati,Female,"15
(10 - 21)","51
(37 - 68)","16
(10 - 21)","9
(6 - 12)","92
(65 - 124)","25.3
(17.3 - 34.9)","81.5
(59.0 - 108.6)","25.2
(17.1 - 34.2)","14.8
(10.3 - 20.0)","36.7
(26.5 - 48.9)",,
         Kiribati,Both Sex,"32
(20 - 48)","107
(70 - 155)","33
(20 - 48)","20
(13 - 28)","193
(124 - 280)","26.8
(17.0 - 39.6)","86.6
(56.5 - 125.5)","26.3
(16.6 - 38.4)","15.7
(10.4 - 22.2)","38.8
(25.1 - 55.3)",,
         Marshall Islands,Male,"7
(3 - 13)","27
(13 - 47)","7
(3 - 12)","3
(1 - 6)","46
(22 - 80)","34.8
(16.1 - 59.9)","123.2
(60.9 - 211.2)","33.6
(15.8 - 59.3)","17.1
(9.1 - 29.9)","52.2
(26.2 - 89.4)",,
         Marshall Islands,Female,"6
(4 - 9)","23
(16 - 32)","6
(4 - 8)","3
(2 - 4)","39
(27 - 55)","30.6
(20.9 - 44.4)","108.1
(76.6 - 151.8)","29.3
(19.9 - 42.6)","15.9
(11.1 - 22.2)","46.0
(32.3 - 64.6)",,
         Marshall Islands,Both Sex,"14
(8 - 22)","50
(30 - 78)","13
(7 - 20)","6
(4 - 10)","85
(50 - 132)","32.8
(18.6 - 50.5)","115.9
(69.5 - 179.8)","31.5
(18.5 - 48.9)","16.5
(10.2 - 25.4)","49.1
(29.6 - 76.1)",,
         Nauru,Male,"2
(1 - 4)","9
(4 - 15)","2
(1 - 4)","1
(0 - 2)","16
(8 - 26)","46.3
(23.6 - 79.2)","156.1
(82.3 - 254.6)","41.9
(22.4 - 69.8)","24.7
(14.0 - 36.9)","67.2
(37.4 - 111.4)",,
         Nauru,Female,"2
(1 - 3)","8
(5 - 11)","2
(1 - 3)","1
(0 - 1)","14
(9 - 20)","42.2
(28.6 - 60.3)","141.4
(97.7 - 200.6)","38.5
(26.2 - 56.4)","22.6
(15.3 - 31.5)","61.2
(42.5 - 87.4)",,
         Nauru,Both Sex,"5
(3 - 8)","17
(10 - 25)","4
(3 - 7)","2
(1 - 4)","30
(18 - 45)","44.3
(26.7 - 67.9)","148.8
(89.0 - 217.2)","40.2
(25.2 - 63.1)","23.6
(15.1 - 33.6)","64.2
(41.3 - 94.3)",,
         Niue,Male,"0
(0 - 0)","1
(0 - 2)","0
(0 - 0)","0
(0 - 0)","3
(1 - 4)","66.3
(30.3 - 109.4)","212.7
(105.6 - 333.7)","68.2
(33.7 - 116.3)","33.9
(16.6 - 57.9)","95.3
(48.9 - 150.4)",,
         Niue,Female,"0
(0 - 0)","1
(0 - 1)","0
(0 - 0)","0
(0 - 0)","2
(1 - 3)","43.8
(28.8 - 59.0)","140.9
(94.4 - 187.8)","49.9
(32.7 - 69.5)","27.9
(18.6 - 40.8)","65.6
(44.4 - 88.7)",,
         Niue,Both Sex,"0
(0 - 1)","2
(1 - 4)","0
(0 - 1)","0
(0 - 0)","5
(3 - 7)","54.6
(31.0 - 82.8)","175.4
(103.6 - 249.7)","58.7
(35.6 - 90.2)","30.8
(18.8 - 46.8)","79.9
(47.7 - 115.7)",,
         Northern Mariana Islands,Male,"11
(7 - 16)","38
(25 - 52)","13
(9 - 19)","5
(3 - 8)","70
(46 - 96)","45.9
(30.5 - 64.0)","153.3
(103.1 - 208.6)","56.0
(36.1 - 77.0)","23.3
(15.8 - 32.8)","69.6
(48.1 - 94.7)",,
         Northern Mariana Islands,Female,"7
(5 - 9)","26
(20 - 32)","8
(6 - 10)","4
(3 - 5)","46
(35 - 58)","33.0
(25.0 - 42.3)","115.1
(90.4 - 143.3)","37.9
(28.9 - 47.5)","18.1
(13.8 - 23.2)","51.0
(39.7 - 62.7)",,
         Northern Mariana Islands,Both Sex,"19
(13 - 25)","64
(47 - 84)","22
(15 - 29)","9
(7 - 13)","116
(83 - 152)","39.8
(27.7 - 53.4)","135.2
(98.9 - 175.4)","47.4
(32.9 - 62.0)","20.8
(15.1 - 27.9)","60.8
(44.0 - 78.7)",,
         Palau,Male,"6
(3 - 12)","22
(11 - 35)","7
(3 - 12)","3
(1 - 6)","40
(19 - 66)","70.1
(32.6 - 124.5)","233.0
(120.2 - 365.2)","73.6
(34.6 - 132.1)","35.8
(16.9 - 62.4)","103.1
(52.8 - 167.3)",,
         Palau,Female,"2
(1 - 3)","8
(5 - 12)","2
(1 - 3)","1
(0 - 1)","14
(9 - 21)","30.1
(19.1 - 44.3)","107.8
(70.7 - 151.7)","28.5
(18.4 - 41.2)","15.1
(10.0 - 21.3)","45.4
(29.8 - 64.1)",,
         Palau,Both Sex,"9
(4 - 15)","31
(17 - 46)","9
(4 - 15)","4
(2 - 7)","55
(29 - 85)","51.8
(27.3 - 85.4)","175.7
(98.1 - 259.8)","52.9
(27.5 - 88.5)","26.3
(14.0 - 42.7)","76.7
(42.5 - 116.0)",,
         Papua New Guinea,Male,"405
(336 - 478)","2,573
(2,151 - 3,022)","550
(449 - 653)","400
(317 - 498)","3,929
(3,255 - 4,653)","7.6
(6.3 - 9.0)","47.2
(39.4 - 55.4)","9.8
(8.0 - 11.7)","6.9
(5.5 - 8.6)","17.9
(15.0 - 20.9)",,
         Papua New Guinea,Female,"283
(232 - 334)","1,482
(1,236 - 1,735)","375
(308 - 457)","274
(222 - 330)","2,416
(2,000 - 2,857)","5.8
(4.7 - 6.8)","29.4
(24.5 - 34.4)","7.2
(5.9 - 8.8)","5.1
(4.2 - 6.2)","11.9
(10.0 - 14.0)",,
         Papua New Guinea,Both Sex,"689
(594 - 785)","4,055
(3,544 - 4,548)","926
(783 - 1,077)","675
(561 - 815)","6,345
(5,484 - 7,228)","6.8
(5.8 - 7.7)","38.6
(33.8 - 43.3)","8.6
(7.3 - 10.0)","6.1
(5.1 - 7.3)","15.0
(13.1 - 16.9)",,
         Samoa,Male,"38
(18 - 64)","121
(66 - 184)","40
(21 - 64)","21
(11 - 34)","222
(118 - 348)","35.5
(16.8 - 59.3)","110.7
(61.2 - 168.6)","36.7
(19.3 - 58.6)","19.6
(10.4 - 31.0)","50.6
(28.0 - 78.4)",,
         Samoa,Female,"31
(21 - 44)","97
(70 - 130)","33
(22 - 46)","19
(13 - 26)","181
(127 - 247)","30.2
(20.8 - 42.7)","93.5
(67.3 - 125.0)","31.4
(20.8 - 43.5)","18.0
(12.8 - 24.4)","43.3
(30.2 - 58.7)",,
         Samoa,Both Sex,"69
(41 - 107)","219
(138 - 306)","73
(43 - 109)","41
(25 - 60)","403
(249 - 583)","32.9
(19.5 - 50.8)","102.3
(64.6 - 143.3)","34.1
(20.2 - 50.5)","18.8
(11.7 - 27.4)","47.0
(29.5 - 67.9)",,
         Solomon Islands,Male,"73
(34 - 122)","273
(146 - 447)","75
(39 - 123)","39
(21 - 60)","461
(242 - 753)","18.4
(8.7 - 30.5)","66.0
(35.4 - 108.1)","17.6
(9.2 - 28.9)","8.9
(4.9 - 13.7)","27.7
(15.0 - 45.1)",,
         Solomon Islands,Female,"39
(26 - 55)","142
(99 - 200)","39
(26 - 55)","23
(17 - 31)","244
(170 - 342)","10.3
(6.9 - 14.7)","36.1
(25.4 - 50.9)","9.8
(6.6 - 13.6)","5.7
(4.1 - 7.6)","15.5
(10.8 - 21.2)",,
         Solomon Islands,Both Sex,"112
(61 - 174)","415
(248 - 636)","114
(69 - 181)","63
(40 - 91)","706
(419 - 1,083)","14.5
(7.8 - 22.3)","51.5
(30.8 - 78.9)","13.8
(8.4 - 21.7)","7.3
(4.7 - 10.6)","21.8
(12.8 - 33.1)",,
         Tokelau,Male,"0
(0 - 0)","1
(0 - 1)","0
(0 - 0)","0
(0 - 0)","1
(1 - 3)","41.9
(20.2 - 69.9)","126.1
(67.8 - 202.1)","46.3
(24.0 - 80.9)","23.7
(12.2 - 39.2)","59.5
(32.5 - 96.4)",,
